,ham,spam,accuracy,macro avg,weighted avg
precision,0.9745836985100789,1.0,0.9822303921568627,0.9872918492550394,0.9826820298671615
recall,1.0,0.9442307692307692,0.9822303921568627,0.9721153846153846,0.9822303921568627
f1-score,0.9871282734132268,0.9713155291790306,0.9822303921568627,0.9792219012961287,0.98208989902488
support,1112.0,520.0,0.9822303921568627,1632.0,1632.0
