,ham,spam,accuracy,macro avg,weighted avg
precision,0.9728783902012248,1.0,0.9810049019607843,0.9864391951006124,0.9815200795978934
recall,1.0,0.9403846153846154,0.9810049019607843,0.9701923076923077,0.9810049019607843
f1-score,0.9862527716186252,0.9692765113974232,0.9810049019607843,0.9777646415080242,0.9808436690971639
support,1112.0,520.0,0.9810049019607843,1632.0,1632.0
