,ham,spam,accuracy,macro avg,weighted avg
precision,0.8917401764234162,1.0,0.9172794117647058,0.9458700882117081,0.9262347280532102
recall,1.0,0.7403846153846154,0.9172794117647058,0.8701923076923077,0.9172794117647058
f1-score,0.9427723611699873,0.850828729281768,0.9172794117647058,0.8968005452258776,0.9134765961075644
support,1112.0,520.0,0.9172794117647058,1632.0,1632.0
