,ham,spam,accuracy,macro avg,weighted avg
precision,0.8488549618320611,1.0,0.8786764705882353,0.9244274809160306,0.8970139200718455
recall,1.0,0.6192307692307693,0.8786764705882353,0.8096153846153846,0.8786764705882353
f1-score,0.9182493806771264,0.7648456057007126,0.8786764705882353,0.8415474931889195,0.8693707268856219
support,1112.0,520.0,0.8786764705882353,1632.0,1632.0
