,ham,spam,accuracy,macro avg,weighted avg
precision,0.9652476107732406,0.997920997920998,0.9748774509803921,0.9815843043471193,0.9756582488350262
recall,0.9991007194244604,0.9230769230769231,0.9748774509803921,0.9610888212506918,0.9748774509803921
f1-score,0.9818824569155987,0.9590409590409591,0.9748774509803921,0.9704617079782789,0.9746045286712283
support,1112.0,520.0,0.9748774509803921,1632.0,1632.0
