,ham,spam,accuracy,macro avg,weighted avg
precision,0.9728546409807356,0.9979591836734694,0.9803921568627451,0.9854069123271025,0.9808536374269498
recall,0.9991007194244604,0.9403846153846154,0.9803921568627451,0.969742667404538,0.9803921568627451
f1-score,0.9858030168589175,0.9683168316831683,0.9803921568627451,0.9770599242710429,0.9802314382489975
support,1112.0,520.0,0.9803921568627451,1632.0,1632.0
